GO_ID	NS	Name	p_uncorrected	p_fdr_bh	enrichment	study_count	pop_count
GO:0006412	BP	translation	9.635e-57	1.142e-54	enriched	440	442
GO:0006869	BP	lipid transport	4.414e-19	3.140e-17	enriched	272	290
GO:0006955	BP	immune response	5.986e-17	3.757e-15	enriched	398	445
GO:0007186	BP	G protein-coupled receptor signaling pathway	8.697e-14	4.419e-12	enriched	99	99
GO:0009664	BP	plant-type cell wall organization	2.977e-12	1.270e-10	enriched	89	89
GO:0009627	BP	systemic acquired resistance	7.163e-12	2.729e-10	enriched	85	85
GO:0019722	BP	calcium-mediated signaling	5.190e-11	1.786e-09	enriched	78	78
GO:0016042	BP	lipid catabolic process	2.743e-10	8.869e-09	enriched	161	174
GO:0006644	BP	phospholipid metabolic process	1.942e-08	5.452e-07	enriched	142	155
GO:0030150	BP	protein import into mitochondrial matrix	3.353e-07	7.611e-06	enriched	50	50
GO:0006508	BP	proteolysis	8.107e-07	1.730e-05	enriched	71	74
GO:0045039	BP	protein insertion into mitochondrial inner membrane	1.555e-06	3.078e-05	enriched	46	46
GO:0009755	BP	hormone-mediated signaling pathway	1.678e-05	2.888e-04	enriched	37	37
GO:0007275	BP	multicellular organism development	7.473e-05	1.123e-03	enriched	33	33
GO:0031145	BP	anaphase-promoting complex-dependent catabolic process	7.473e-05	1.123e-03	enriched	33	33
GO:0032438	BP	melanosome organization	1.940e-04	2.836e-03	enriched	29	29
GO:0008343	BP	adult feeding behavior	2.037e-04	2.898e-03	enriched	30	30
GO:0050482	BP	arachidonate secretion	3.187e-04	4.417e-03	enriched	28	28
GO:0006954	BP	inflammatory response	4.093e-04	5.599e-03	enriched	90	102
GO:0033617	BP	mitochondrial respiratory chain complex IV assembly	5.592e-04	7.020e-03	enriched	27	27
GO:0009267	BP	cellular response to starvation	8.552e-04	1.013e-02	enriched	24	24
GO:0032099	BP	negative regulation of appetite	8.552e-04	1.013e-02	enriched	24	24
GO:0007342	BP	fusion of sperm to egg plasma membrane involved in single fertilization	8.641e-04	1.013e-02	enriched	25	25
GO:0043410	BP	positive regulation of MAPK cascade	8.641e-04	1.013e-02	enriched	25	25
GO:0007304	BP	chorion-containing eggshell formation	2.258e-03	2.362e-02	enriched	21	21
GO:0055085	BP	transmembrane transport	2.258e-03	2.362e-02	enriched	21	21
GO:0006355	BP	regulation of DNA-templated transcription	2.362e-03	2.401e-02	enriched	22	22
GO:0000028	BP	ribosomal small subunit assembly	2.362e-03	2.401e-02	enriched	22	22
GO:0008285	BP	negative regulation of cell population proliferation	2.362e-03	2.401e-02	enriched	22	22
GO:0007165	BP	signal transduction	2.568e-03	2.585e-02	enriched	39	42
GO:0006334	BP	nucleosome assembly	2.601e-03	2.594e-02	enriched	40	43
GO:0010466	BP	negative regulation of peptidase activity	3.718e-03	3.542e-02	enriched	20	20
GO:0048332	BP	mesoderm morphogenesis	3.718e-03	3.542e-02	enriched	20	20
GO:0000786	CC	nucleosome	3.671e-110	4.896e-108	enriched	989	1009
GO:0005840	CC	ribosome	1.121e-38	1.087e-36	enriched	308	310
GO:0022627	CC	cytosolic small ribosomal subunit	1.272e-15	7.540e-14	enriched	125	126
GO:0016020	CC	membrane	2.044e-15	1.148e-13	enriched	171	178
GO:0005886	CC	plasma membrane	2.448e-13	1.187e-11	enriched	107	108
GO:0009506	CC	plasmodesma	1.320e-09	4.084e-08	enriched	78	79
GO:0031012	CC	extracellular matrix	1.215e-06	2.543e-05	enriched	62	64
GO:0005739	CC	mitochondrion	1.250e-06	2.566e-05	enriched	69	72
GO:0005615	CC	extracellular space	2.829e-06	5.390e-05	enriched	723	903
GO:0005744	CC	TIM23 mitochondrial import inner membrane translocase complex	3.856e-06	7.218e-05	enriched	42	42
GO:0022625	CC	cytosolic large ribosomal subunit	1.028e-05	1.799e-04	enriched	39	39
GO:0005743	CC	mitochondrial inner membrane	2.762e-05	4.534e-04	enriched	36	36
GO:0009277	CC	fungal-type cell wall	7.372e-05	1.123e-03	enriched	32	32
GO:0005680	CC	anaphase-promoting complex	7.473e-05	1.123e-03	enriched	33	33
GO:0045271	CC	respiratory chain complex I	5.147e-04	6.697e-03	enriched	26	26
