GO_ID	NS	Name	p_uncorrected	p_fdr_bh	enrichment	study_count	pop_count
GO:0006412	BP	translation	1.151e-35	2.197e-33	enriched	266	272
GO:0009664	BP	plant-type cell wall organization	4.309e-21	3.915e-19	enriched	126	126
GO:0006955	BP	immune response	8.365e-20	7.255e-18	enriched	348	395
GO:0006869	BP	lipid transport	8.195e-18	5.584e-16	enriched	239	263
GO:0009627	BP	systemic acquired resistance	1.371e-16	8.718e-15	enriched	98	98
GO:0006006	BP	glucose metabolic process	5.208e-15	2.839e-13	enriched	119	123
GO:0006096	BP	glycolytic process	4.794e-14	2.407e-12	enriched	125	131
GO:0019722	BP	calcium-mediated signaling	3.141e-11	1.332e-09	enriched	74	75
GO:0007186	BP	G protein-coupled receptor signaling pathway	6.760e-11	2.632e-09	enriched	85	88
GO:0006508	BP	proteolysis	1.719e-08	5.655e-07	enriched	85	91
GO:0006355	BP	regulation of DNA-templated transcription	1.275e-07	3.800e-06	enriched	57	59
GO:0006357	BP	regulation of transcription by RNA polymerase II	2.085e-06	5.304e-05	enriched	37	37
GO:0007275	BP	multicellular organism development	3.527e-06	8.741e-05	enriched	53	56
GO:0006954	BP	inflammatory response	9.476e-06	2.127e-04	enriched	99	114
GO:0007219	BP	Notch signaling pathway	1.506e-05	3.265e-04	enriched	31	31
GO:0055085	BP	transmembrane transport	1.506e-05	3.265e-04	enriched	31	31
GO:0033617	BP	mitochondrial respiratory chain complex IV assembly	2.508e-05	5.258e-04	enriched	29	29
GO:0015031	BP	protein transport	2.508e-05	5.258e-04	enriched	29	29
GO:0008283	BP	cell population proliferation	7.262e-05	1.476e-03	enriched	26	26
GO:0007157	BP	heterophilic cell-cell adhesion	7.270e-05	1.476e-03	enriched	27	27
GO:0015986	BP	proton motive force-driven ATP synthesis	3.388e-04	6.042e-03	enriched	22	22
GO:0016192	BP	vesicle-mediated transport	3.388e-04	6.042e-03	enriched	22	22
GO:0007608	BP	sensory perception of smell	3.388e-04	6.042e-03	enriched	22	22
GO:0006886	BP	intracellular protein transport	3.540e-04	6.084e-03	enriched	23	23
GO:0015979	BP	photosynthesis	3.540e-04	6.084e-03	enriched	23	23
GO:0031145	BP	anaphase-promoting complex-dependent catabolic process	3.540e-04	6.084e-03	enriched	23	23
GO:0008284	BP	positive regulation of cell population proliferation	4.176e-04	7.114e-03	enriched	28	29
GO:0030335	BP	positive regulation of cell migration	5.190e-04	8.686e-03	enriched	72	84
GO:0030198	BP	extracellular matrix organization	5.598e-04	8.976e-03	enriched	21	21
GO:0030154	BP	cell differentiation	5.598e-04	8.976e-03	enriched	21	21
GO:0030334	BP	regulation of cell migration	6.215e-04	9.882e-03	enriched	45	50
GO:0043547	BP	positive regulation of GTPase activity	7.419e-04	1.151e-02	enriched	71	83
