seq_id	go_terms
PRED|NP_000991.1	GO:0003735|GO:0005840|GO:0006412|GO:0022625
PRED|NP_001001663.1	GO:0016020
PRED|NP_001002153.2	GO:0005747
PRED|NP_001004182.1	GO:0016020
PRED|NP_001006011.1	GO:0043065|GO:1901981
PRED|NP_001006689.1	GO:0001649|GO:0005509|GO:0005576|GO:0008147|GO:0032571|GO:0046848|GO:0060348|GO:1900076
PRED|NP_001006890.1	GO:0004364|GO:0004602|GO:0005635|GO:0005783|GO:0016020
PRED|NP_001007352.1	GO:0005634|GO:0005737
PRED|NP_001008216.1	GO:0005739|GO:0033617
PRED|NP_001010886.1	GO:0005576|GO:0007586|GO:0008047|GO:0016042|GO:0032094
PRED|NP_001011061.1	GO:0005789|GO:0006486|GO:0006506|GO:0033185
PRED|NP_001011400.1	GO:0005634|GO:0005737|GO:0006606
PRED|NP_001013.1	GO:0000028|GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0022627
PRED|NP_001013246.1	GO:0005737|GO:0005868|GO:0007018|GO:0045505
PRED|NP_001013276.1	GO:0006355
PRED|NP_001013819.1	GO:0004867
PRED|NP_001014457.1	GO:0005549
PRED|NP_001014551.1	GO:0003735|GO:0005840|GO:0006412
PRED|NP_001015402.3	GO:0005739|GO:0005743|GO:0061617
PRED|NP_001016260.1	GO:0000139|GO:0005789|GO:0006888|GO:0030134
PRED|NP_001016485.1	GO:0031012|GO:0045667|GO:0048706
PRED|NP_001021177.3	GO:0045087
PRED|NP_001021506.4	GO:0009986
PRED|NP_001023410.1	GO:0016020
PRED|NP_001023901.1	GO:0016491
PRED|NP_001025184.1	GO:0005576|GO:0007218|GO:0032230|GO:0045760|GO:0051968
PRED|NP_001026836.1	GO:0016020
PRED|NP_001027396.1	GO:0008250|GO:0018279
PRED|NP_001027469.2	GO:0001649|GO:0005509|GO:0005576|GO:0008147|GO:0032571|GO:0046848|GO:0060348|GO:1900076
PRED|NP_001027534.1	GO:0005737
PRED|NP_001027742.1	GO:0005179|GO:0005576|GO:0006182|GO:0007168
PRED|NP_001028593.1	GO:0005615
PRED|NP_001030043.1	GO:0005576|GO:0007586|GO:0008047|GO:0016042|GO:0032094
PRED|NP_001030344.1	GO:0003735|GO:0005840|GO:0006412
PRED|NP_001030593.2	GO:0005615|GO:1903575
PRED|NP_001032243.1	GO:0003735|GO:0005840|GO:0006412
PRED|NP_001032423.1	GO:0000028|GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0022627
PRED|NP_001032628.1	GO:0001935
PRED|NP_001032630.1	GO:0001935
PRED|NP_001033548.1	GO:0005185|GO:0005576
PRED|NP_001033589.1	GO:0005186|GO:0005615
PRED|NP_001033820.1	GO:0005918|GO:0019991|GO:0035151
PRED|NP_001035311.1	GO:0005549
PRED|NP_001035317.1	GO:0005549
PRED|NP_001035914.1	GO:0003735|GO:0005840|GO:0006412
PRED|NP_001036552.1	GO:0003735|GO:0005762|GO:0005840|GO:0006412
PRED|NP_001036569.2	GO:0005184|GO:0005576|GO:0007623
PRED|NP_001036713.2	GO:0016020
PRED|NP_001036920.2	GO:0005179|GO:0005576|GO:0009416
PRED|NP_001037307.1	GO:0007218|GO:0008255|GO:0018990
PRED|NP_001037674.1	GO:0006605|GO:0006886|GO:0008320|GO:0015031|GO:0016020
PRED|NP_001038301.1	GO:0005615|GO:0030199|GO:0031012
PRED|NP_001038304.2	GO:0005615|GO:0030199|GO:0031012
PRED|NP_001039098.1	GO:0005739|GO:0033617
PRED|NP_001040212.1	GO:0005549|GO:0005615|GO:0007608
PRED|NP_001040454.1	GO:0015918|GO:0032934
PRED|NP_001040904.1	GO:0016020|GO:0016192
PRED|NP_001040905.1	GO:0016020|GO:0016192
PRED|NP_001070129.1	GO:0005794|GO:0045879|GO:0060170
PRED|NP_001071679.1	GO:0005615|GO:0039706|GO:0048019|GO:0090090
PRED|NP_001071812.1	GO:0005886|GO:0017147|GO:0035567|GO:0042813|GO:0060070
PRED|NP_001074346.1	GO:0000003|GO:0005183|GO:0005615|GO:0031530
PRED|NP_001075888.2	GO:0005179|GO:0005184|GO:0007186|GO:0007631|GO:0031861|GO:0043434
PRED|NP_001076436.1	GO:0001664|GO:0005615|GO:0007186|GO:0048018
PRED|NP_001076580.1	GO:0000003|GO:0005179|GO:0005183|GO:0005576|GO:0005615|GO:0007275|GO:0031530
PRED|NP_001076602.1	GO:0005737
PRED|NP_001076808.1	GO:0005184|GO:0005576|GO:0007623
PRED|NP_001077509.1	GO:0010098
PRED|NP_001077510.1	GO:0010098
PRED|NP_001077511.1	GO:0010098
PRED|NP_001077599.1	GO:0005576|GO:0009664
PRED|NP_001077601.1	GO:0010098
PRED|NP_001077684.1	GO:0003735|GO:0006412|GO:0032543
PRED|NP_001077685.1	GO:0003735|GO:0006412|GO:0032543
PRED|NP_001077782.1	GO:0008285
PRED|NP_001077795.1	GO:0008285
PRED|NP_001077896.2	GO:0010098
PRED|NP_001078036.1	GO:0010098
PRED|NP_001078076.1	GO:0008380|GO:0030532
PRED|NP_001078179.1	GO:0008285
PRED|NP_001078331.1	GO:0008380|GO:0030532
PRED|NP_001078665.1	GO:0005576|GO:0009567|GO:0031982|GO:0080155|GO:2000008
PRED|NP_001078696.1	GO:0005576|GO:0009567|GO:0031982|GO:0080155|GO:2000008
PRED|NP_001078831.1	GO:0005184|GO:0005185|GO:0005576|GO:0005615|GO:0030141
PRED|NP_001090807.1	GO:0005179|GO:0005576|GO:0005615|GO:0030334
PRED|NP_001091080.1	GO:0016324|GO:0032437|GO:0036064|GO:0043025|GO:0060091
PRED|NP_001092124.1	GO:0005184|GO:0005576|GO:0005615|GO:0007218|GO:0008343|GO:0009755|GO:0031779|GO:0070996|GO:2000253
PRED|NP_001092126.1	GO:0005184|GO:0005576|GO:0005615|GO:0007218|GO:0008343|GO:0009755|GO:0031779|GO:0070996|GO:2000253
PRED|NP_001092136.1	GO:0005184|GO:0005576|GO:0005615|GO:0009755|GO:0031779|GO:0032438
PRED|NP_001093144.1	GO:0005730|GO:0042254
PRED|NP_001093289.1	GO:0005737|GO:0005868|GO:0007018|GO:0045505
PRED|NP_001093572.2	GO:0005102|GO:0016020|GO:0043548|GO:0050776|GO:0051897
PRED|NP_001094329.1	GO:0005496|GO:0005576
PRED|NP_001095117.1	GO:0005179|GO:0005184|GO:0007186|GO:0007631|GO:0031861|GO:0043434
PRED|NP_001096369.1	GO:0001664|GO:0005615|GO:0007186|GO:0048018
PRED|NP_001097784.1	GO:0005184|GO:0005615|GO:0007218
PRED|NP_001100075.1	GO:0005737
PRED|NP_001100247.1	GO:0003735|GO:0005840|GO:0006412
