DATABASE|CAMPSQ14151_SAMPDeltaNDeltaC||Dimeric_alpha-beta_barrel|Stress_responsive_alpha+beta-barrel
PRED|NP_001158259.1_small_proline-rich_protein_2A1_[Mus_musculus]|0.98|0.91||Small_proline-rich_protein_2
PRED|NP_035598.2_small_proline-rich_protein_2A1_[Mus_musculus]|0.98|0.91||Small_proline-rich_protein_2
PRED|NP_200086.1_Copper_transport_protein_family_[Arabidopsis_thaliana]|0.53|0.81||Heavy_metal-associated_isoprenylated_plant
PRED|WP_003090284.1_MULTISPECIES:_heavy-metal-associated_domain-containing_protein_[Pseudomonadota]|0.84|0.71||Unknown
PRED|WP_005794486.1_MULTISPECIES:_heavy-metal-associated_domain-containing_protein_[Bacteroides]|0.62|0.74||Unknown
PRED|XP_002307843.2_heavy_metal-associated_isoprenylated_plant_protein_47_[Populus_trichocarpa]|0.81|0.74||Unknown
PRED|XP_003594348.1_heavy_metal-associated_isoprenylated_plant_protein_47_[Medicago_truncatula]|0.61|0.73||Heavy_metal-associated_isoprenylated_plant_protein_46
PRED|XP_003616734.2_heavy_metal-associated_isoprenylated_plant_protein_33_[Medicago_truncatula]|0.84|0.84||COPPER_TRANSPORT_PROTEIN_ATOX1-RELATED
PRED|XP_012047175.1_hypothetical_protein_CNAG_03679_[Cryptococcus_neoformans_var._grubii_H99]|0.99|0.74||Acylphosphatase
PRED|XP_012047383.1_hypothetical_protein_variant_[Cryptococcus_neoformans_var._grubii_H99]|0.89|0.7||Acylphosphatase
PRED|XP_014780059.2_acylphosphatase-1_[Octopus_bimaculoides]|0.52|0.83||Acylphosphatase
PRED|XP_015642372.1_heavy_metal-associated_isoprenylated_plant_protein_43_[Oryza_sativa_Japonica_Group]|0.89|0.81||Heavy_metal-associated_isoprenylated_plant
PRED|XP_037875158.1_acylphosphatase-2_[Bombyx_mori]|0.59|0.77||Acylphosphatase
PRED|XP_037875159.1_acylphosphatase-2_[Bombyx_mori]|0.59|0.77||Acylphosphatase
PRED|XP_046443297.1_acylphosphatase-1-like_[Daphnia_pulex]|0.79|0.75||Acylphosphatase
PRED|XP_052309646.1_disease_resistance_protein_Pik-1-like_[Populus_trichocarpa]|0.81|0.83||Heavy_metal-associated_isoprenylated_plant_protein_47/16
PRED|XP_052309647.1_disease_resistance_protein_Pik-1-like_[Populus_trichocarpa]|0.81|0.83||Heavy_metal-associated_isoprenylated_plant_protein_47/16
PRED|XP_059596066.1_disease_resistance_protein_RGA5_[Vitis_vinifera]|0.61|0.71||Heavy_metal-associated_isoprenylated_plant_protein_47/16
PRED|XP_061512250.1_acylphosphatase-2_[Anopheles_gambiae]|0.89|0.94||Acylphosphatase
PRED|XP_062531251.1_acylphosphatase-2_[Bombyx_mori]|0.59|0.77||Acylphosphatase
PRED|XP_062531252.1_acylphosphatase-2_[Bombyx_mori]|0.59|0.77||Acylphosphatase
PRED|XP_062531253.1_acylphosphatase-2_[Bombyx_mori]|0.59|0.77||Acylphosphatase
PRED|XP_064411732.1_uncharacterized_protein_LOC102346834_isoform_X1_[Latimeria_chalumnae]|0.55|0.74||Acylphosphatase
PRED|XP_064411734.1_acylphosphatase-2_isoform_X3_[Latimeria_chalumnae]|0.59|0.76||Acylphosphatase
PRED|XP_073773241.1_acylphosphatase-2_isoform_X2_[Danio_rerio]|0.6|0.78||Acylphosphatase
PRED|XP_638653.2_copper_transport_protein_[Dictyostelium_discoideum_AX4]|0.54|0.77||Copper_transport_ATOX1-like
