PRED|XP_006383878.2_stigma-specific_STIG1-like_protein_1_[Populus_trichocarpa]|0.98|0.91	673c5d9bc06de42a8229ed33287f14bb	96	PANTHER	PTHR33227	STIGMA-SPECIFIC STIG1-LIKE PROTEIN 3	11	96	4.7E-31	T	28-11-2025	IPR006969	Stigma-specific protein Stig1-like	-
PRED|XP_006383878.2_stigma-specific_STIG1-like_protein_1_[Populus_trichocarpa]|0.98|0.91	673c5d9bc06de42a8229ed33287f14bb	96	Pfam	PF04885	Stigma-specific STIG1-like protein family	14	96	1.0E-27	T	28-11-2025	IPR006969	Stigma-specific protein Stig1-like	-
PRED|NP_001347044.2_small_ribosomal_subunit_protein_eS19_isoform_a_[Mus_musculus]|0.68|0.78	ef294c380c2c66f5706010b2b34be63c	124	SMART	SM01413	Ribosomal_S19e_2	1	120	2.7E-71	T	28-11-2025	IPR001266	Small ribosomal subunit protein eS19	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)
PRED|NP_001347044.2_small_ribosomal_subunit_protein_eS19_isoform_a_[Mus_musculus]|0.68|0.78	ef294c380c2c66f5706010b2b34be63c	124	Pfam	PF01090	Ribosomal protein S19e	1	118	5.5E-46	T	28-11-2025	IPR001266	Small ribosomal subunit protein eS19	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)
PRED|NP_001347044.2_small_ribosomal_subunit_protein_eS19_isoform_a_[Mus_musculus]|0.68|0.78	ef294c380c2c66f5706010b2b34be63c	124	SUPERFAMILY	SSF46785	"Winged helix" DNA-binding domain	1	119	2.59E-51	T	28-11-2025	IPR036390	Winged helix DNA-binding domain superfamily	-
PRED|NP_001347044.2_small_ribosomal_subunit_protein_eS19_isoform_a_[Mus_musculus]|0.68|0.78	ef294c380c2c66f5706010b2b34be63c	124	Gene3D	G3DSA:1.10.10.10	-	1	123	3.6E-64	T	28-11-2025	IPR036388	Winged helix-like DNA-binding domain superfamily	-
PRED|NP_001347044.2_small_ribosomal_subunit_protein_eS19_isoform_a_[Mus_musculus]|0.68|0.78	ef294c380c2c66f5706010b2b34be63c	124	PANTHER	PTHR11710	40S RIBOSOMAL PROTEIN S19	1	121	6.2E-55	T	28-11-2025	IPR001266	Small ribosomal subunit protein eS19	GO:0000028(PANTHER)|GO:0003723(PANTHER)|GO:0003735(InterPro)|GO:0003735(PANTHER)|GO:0005840(InterPro)|GO:0006412(InterPro)|GO:0022627(PANTHER)
PRED|NP_001347044.2_small_ribosomal_subunit_protein_eS19_isoform_a_[Mus_musculus]|0.68|0.78	ef294c380c2c66f5706010b2b34be63c	124	FunFam	G3DSA:1.10.10.10:FF:000118	40S ribosomal protein S19	1	121	9.4E-56	T	28-11-2025	-	-	-
DATABASE|AP01644	fd63b9b1420ce5b71b72d5f131bcfe81	30	Pfam	PF08023	Frog antimicrobial peptide	7	30	0.057	T	28-11-2025	IPR012521	Frog antimicrobial peptide, brevinin-2/esculentin type	GO:0005576(InterPro)|GO:0006952(InterPro)
PRED|NP_001013.1_small_ribosomal_subunit_protein_eS19_isoform_1_[Homo_sapiens]|0.68|0.74	e781ac8459e0911d297be92aa84ca935	120	Gene3D	G3DSA:1.10.10.10	-	1	119	1.1E-60	T	28-11-2025	IPR036388	Winged helix-like DNA-binding domain superfamily	-
PRED|NP_001013.1_small_ribosomal_subunit_protein_eS19_isoform_1_[Homo_sapiens]|0.68|0.74	e781ac8459e0911d297be92aa84ca935	120	FunFam	G3DSA:1.10.10.10:FF:000118	40S ribosomal protein S19	1	117	2.7E-51	T	28-11-2025	-	-	-
PRED|NP_001013.1_small_ribosomal_subunit_protein_eS19_isoform_1_[Homo_sapiens]|0.68|0.74	e781ac8459e0911d297be92aa84ca935	120	PANTHER	PTHR11710	40S RIBOSOMAL PROTEIN S19	2	117	1.1E-51	T	28-11-2025	IPR001266	Small ribosomal subunit protein eS19	GO:0000028(PANTHER)|GO:0003723(PANTHER)|GO:0003735(InterPro)|GO:0003735(PANTHER)|GO:0005840(InterPro)|GO:0006412(InterPro)|GO:0022627(PANTHER)
PRED|NP_001013.1_small_ribosomal_subunit_protein_eS19_isoform_1_[Homo_sapiens]|0.68|0.74	e781ac8459e0911d297be92aa84ca935	120	SMART	SM01413	Ribosomal_S19e_2	2	116	4.3E-65	T	28-11-2025	IPR001266	Small ribosomal subunit protein eS19	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)
PRED|NP_001013.1_small_ribosomal_subunit_protein_eS19_isoform_1_[Homo_sapiens]|0.68|0.74	e781ac8459e0911d297be92aa84ca935	120	Pfam	PF01090	Ribosomal protein S19e	2	114	1.1E-42	T	28-11-2025	IPR001266	Small ribosomal subunit protein eS19	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)
PRED|NP_001013.1_small_ribosomal_subunit_protein_eS19_isoform_1_[Homo_sapiens]|0.68|0.74	e781ac8459e0911d297be92aa84ca935	120	SUPERFAMILY	SSF46785	"Winged helix" DNA-binding domain	2	115	1.52E-47	T	28-11-2025	IPR036390	Winged helix DNA-binding domain superfamily	-
