cluster_id	cluster_size	rep	sources	members	has_DATABASE	has_PRED
0	35	PRED|XP_048585027.1	PRED	PRED|XP_048585027.1;PRED|XP_048585028.1;PRED|XP_048585029.1;PRED|XP_030844123.1;PRED|XP_030840196.1;PRED|XP_030852339.1;PRED|XP_030852340.1;PRED|XP_030852341.1;PRED|XP_030852342.1;PRED|XP_030852343.1;PRED|XP_008192313.2;PRED|XP_065941262.1;PRED|XP_065941266.1;PRED|XP_009050376.1;PRED|XP_030855760.1;PRED|XP_047276700.1;PRED|XP_009053783.1;PRED|XP_065929779.1;PRED|XP_009056910.1;PRED|XP_030850246.1;PRED|XP_030855277.1;PRED|XP_030850960.1;PRED|XP_065941261.1;PRED|XP_065941267.1;PRED|XP_009049388.1;PRED|XP_030855278.1;PRED|XP_035826909.1;PRED|XP_009060509.1;PRED|XP_075926292.1;PRED|XP_065930246.1;PRED|XP_009063008.1;PRED|XP_009051073.1;PRED|XP_009060923.1;PRED|XP_009047325.1;PRED|XP_009066793.1	False	True
1	3	PRED|XP_035825811.1	PRED	PRED|XP_035825811.1;PRED|XP_035825813.1;PRED|XP_035825812.1	False	True
10	15	DATABASE|Training_Seq601	DATABASE;PRED	DATABASE|Training_Seq601;DATABASE|Training_Seq600;PRED|NP_004360.2;DATABASE|Training_Seq700;DATABASE|Training_Seq678;DATABASE|Training_Seq640;PRED|XP_075929657.1;PRED|XP_009065539.1;PRED|XP_009052985.1;PRED|XP_009059103.1;DATABASE|CAMPSQ12267_SFV33;DATABASE|CAMPSQ12268_DVN32;DATABASE|CAMPSQ12263_GVR28;DATABASE|CAMPSQ12264_FYL25;DATABASE|CAMPSQ12265_FFL25	True	True
100	5	PRED|XP_040549183.1	PRED	PRED|XP_040549183.1;PRED|XP_040549185.1;PRED|XP_040549186.1;PRED|XP_040549187.1;PRED|XP_040549188.1	False	True
1000	1	PRED|XP_061517480.1	PRED	PRED|XP_061517480.1	False	True
10000	1	DATABASE|Training_Seq906	DATABASE	DATABASE|Training_Seq906	True	False
10001	2	DATABASE|Training_Seq1820	DATABASE	DATABASE|Training_Seq1820;DATABASE|Training_Seq1821	True	False
10002	2	DATABASE|Training_Seq2799	DATABASE	DATABASE|Training_Seq2799;DATABASE|AP02553	True	False
10003	2	DATABASE|Training_Seq3030	DATABASE	DATABASE|Training_Seq3030;DATABASE|AP03003	True	False
10004	2	DATABASE|Training_Seq3224	DATABASE	DATABASE|Training_Seq3224;DATABASE|AP03322	True	False
10005	1	DATABASE|sp|P0DSJ4|TX11A_MYRGU_U-myrmeciitoxin(01)-Mg1a_OS=Myrmecia_gulosa_OX=36170_PE=1_SV=1	DATABASE	DATABASE|sp|P0DSJ4|TX11A_MYRGU_U-myrmeciitoxin(01)-Mg1a_OS=Myrmecia_gulosa_OX=36170_PE=1_SV=1	True	False
10006	2	DATABASE|sp|P82633|DF234_ARATH_Putative_defensin-like_protein_234_OS=Arabidopsis_thaliana_OX=3702_GN=SCRL14_PE=3_SV=1	DATABASE;PRED	DATABASE|sp|P82633|DF234_ARATH_Putative_defensin-like_protein_234_OS=Arabidopsis_thaliana_OX=3702_GN=SCRL14_PE=3_SV=1;PRED|NP_001031694.1	True	True
10007	6	DATABASE|sp|Q9LV55|DF259_ARATH_Defensin-like_protein_259_OS=Arabidopsis_thaliana_OX=3702_GN=At3g24510_PE=3_SV=1	DATABASE;PRED	DATABASE|sp|Q9LV55|DF259_ARATH_Defensin-like_protein_259_OS=Arabidopsis_thaliana_OX=3702_GN=At3g24510_PE=3_SV=1;PRED|NP_189094.1;DATABASE|sp|Q2V3S7|DF258_ARATH_Putative_defensin-like_protein_258_OS=Arabidopsis_thaliana_OX=3702_GN=At3g24513_PE=3_SV=1;PRED|NP_001030760.1;DATABASE|sp|Q2V3S8|DF257_ARATH_Putative_defensin-like_protein_257_OS=Arabidopsis_thaliana_OX=3702_GN=At3g24508_PE=3_SV=1;PRED|NP_001030759.1	True	True
10008	6	DATABASE|sp|R9UE68|ARM46_HYDVD_Arminin_7246_OS=Hydra_viridissima_OX=6082_PE=3_SV=1	DATABASE	DATABASE|sp|R9UE68|ARM46_HYDVD_Arminin_7246_OS=Hydra_viridissima_OX=6082_PE=3_SV=1;DATABASE|sp|D2XUU8|ARM2B_HYDVU_Arminin_2b_OS=Hydra_vulgaris_OX=6087_PE=3_SV=1;DATABASE|sp|D2XUU9|ARM2C_HYDVU_Arminin_2c_OS=Hydra_vulgaris_OX=6087_PE=3_SV=2;DATABASE|sp|R9UC00|ARM94_HYDVU_Arminin_6494_OS=Hydra_vulgaris_OX=6087_PE=2_SV=1;DATABASE|sp|R9UCX1|ARM24_HYDOL_Arminin_524_OS=Hydra_oligactis_OX=6088_PE=3_SV=1;DATABASE|sp|D2XUU7|ARM2A_HYDVU_Arminin_2a_OS=Hydra_vulgaris_OX=6087_PE=3_SV=1	True	False
10009	2	PRED|XP_008115436.1	PRED	PRED|XP_008115436.1;PRED|XP_032227080.1	False	True
1001	1	PRED|XP_017181321.2	PRED	PRED|XP_017181321.2	False	True
10010	15	PRED|XP_016848289.1	PRED	PRED|XP_016848289.1;PRED|XP_016848291.1;PRED|XP_016848292.1;PRED|XP_016848294.1;PRED|XP_006008890.1;PRED|XP_006008891.1;PRED|XP_006008892.1;PRED|XP_064409880.1;PRED|NP_001120728.2;PRED|XP_040045030.1;PRED|XP_040045031.1;PRED|XP_040045032.1;PRED|XP_003977602.1;PRED|XP_011669757.1;PRED|XP_002126386.1	False	True
10011	1	PRED|NP_001191498.1	PRED	PRED|NP_001191498.1	False	True
10012	1	PRED|XP_012942467.1	PRED	PRED|XP_012942467.1	False	True
10013	3	PRED|XP_035827644.1	PRED	PRED|XP_035827644.1;PRED|XP_012942140.1;PRED|XP_012942141.1	False	True
10014	1	PRED|NP_001320667.1	PRED	PRED|NP_001320667.1	False	True
10015	1	PRED|NP_195057.1	PRED	PRED|NP_195057.1	False	True
10016	1	PRED|NP_566774.1	PRED	PRED|NP_566774.1	False	True
10017	1	PRED|NP_566965.1	PRED	PRED|NP_566965.1	False	True
10018	1	PRED|XP_747444.1	PRED	PRED|XP_747444.1	False	True
10019	2	PRED|WP_005787937.1	PRED	PRED|WP_005787937.1;PRED|XP_017984339.1	False	True
1002	1	PRED|XP_024455282.2	PRED	PRED|XP_024455282.2	False	True
10020	1	PRED|WP_044546584.1	PRED	PRED|WP_044546584.1	False	True
10021	4	PRED|XP_024549752.1	PRED	PRED|XP_024549752.1;PRED|XP_750475.1;PRED|XP_050468144.1;PRED|XP_001558612.1	False	True
10022	1	PRED|XP_024553005.1	PRED	PRED|XP_024553005.1	False	True
10023	1	PRED|XP_003560560.2	PRED	PRED|XP_003560560.2	False	True
10024	1	PRED|NP_001021963.1	PRED	PRED|NP_001021963.1	False	True
10025	1	PRED|NP_001255586.1	PRED	PRED|NP_001255586.1	False	True
10026	1	PRED|NP_001257288.1	PRED	PRED|NP_001257288.1	False	True
10027	1	PRED|NP_001348657.1	PRED	PRED|NP_001348657.1	False	True
10028	1	PRED|NP_001379391.1	PRED	PRED|NP_001379391.1	False	True
10029	1	PRED|NP_001391186.1	PRED	PRED|NP_001391186.1	False	True
1003	1	PRED|XP_011444673.3	PRED	PRED|XP_011444673.3	False	True
10030	3	PRED|NP_498194.2	PRED	PRED|NP_498194.2;PRED|NP_001021903.1;PRED|NP_001021904.1	False	True
10031	1	PRED|NP_506597.2	PRED	PRED|NP_506597.2	False	True
10032	1	PRED|NP_506940.1	PRED	PRED|NP_506940.1	False	True
10033	1	PRED|NP_509475.1	PRED	PRED|NP_509475.1	False	True
10034	1	PRED|XP_042921606.1	PRED	PRED|XP_042921606.1	False	True
10035	1	PRED|XP_042921607.1	PRED	PRED|XP_042921607.1	False	True
10036	1	PRED|WP_003420469.1	PRED	PRED|WP_003420469.1	False	True
10037	1	PRED|XP_002910701.1	PRED	PRED|XP_002910701.1	False	True
10038	2	PRED|XP_011454757.2	PRED	PRED|XP_011454757.2;PRED|XP_011415275.1	False	True
10039	3	PRED|XP_012048103.1	PRED	PRED|XP_012048103.1;PRED|XP_012048104.1;PRED|XP_012048105.1	False	True
