rep	cluster_size	sources_rep	sources_members	members	has_DATABASE	has_PRED
DATABASE|AP00008	1	DATABASE	DATABASE	DATABASE|AP00008	True	False
DATABASE|AP00012	1	DATABASE	DATABASE	DATABASE|AP00012	True	False
DATABASE|AP00013	1	DATABASE	DATABASE	DATABASE|AP00013	True	False
DATABASE|AP00014	4	DATABASE	DATABASE	DATABASE|AP00014;DATABASE|AP00015;DATABASE|AP00016;DATABASE|AP00018	True	False
DATABASE|AP00019	1	DATABASE	DATABASE	DATABASE|AP00019	True	False
DATABASE|AP00020	5	DATABASE	DATABASE	DATABASE|AP00020;DATABASE|AP00021;DATABASE|AP00022;DATABASE|DBAASPR_8528_Aurein-2.4;DATABASE|AP00017	True	False
DATABASE|AP00025	2	DATABASE	DATABASE	DATABASE|AP00025;DATABASE|AP00024	True	False
DATABASE|AP00067	3	DATABASE	DATABASE	DATABASE|AP00067;DATABASE|AP00068;DATABASE|AP00066	True	False
DATABASE|AP00069	1	DATABASE	DATABASE	DATABASE|AP00069	True	False
DATABASE|AP00070	1	DATABASE	DATABASE	DATABASE|AP00070	True	False
DATABASE|AP00094	2	DATABASE	DATABASE	DATABASE|AP00094;DATABASE|AP00098	True	False
DATABASE|AP00095	1	DATABASE	DATABASE	DATABASE|AP00095	True	False
DATABASE|AP00096	1	DATABASE	DATABASE	DATABASE|AP00096	True	False
DATABASE|AP00097	1	DATABASE	DATABASE	DATABASE|AP00097	True	False
DATABASE|AP00099	1	DATABASE	DATABASE	DATABASE|AP00099	True	False
DATABASE|AP00100	1	DATABASE	DATABASE	DATABASE|AP00100	True	False
DATABASE|AP00101	1	DATABASE	DATABASE	DATABASE|AP00101	True	False
DATABASE|AP00102	2	DATABASE	DATABASE	DATABASE|AP00102;DATABASE|CAMPSQ14691_ThanatinKEVisoform	True	False
DATABASE|AP00104	1	DATABASE	DATABASE	DATABASE|AP00104	True	False
DATABASE|AP00105	1	DATABASE	DATABASE	DATABASE|AP00105	True	False
DATABASE|AP00106	3	DATABASE	DATABASE	DATABASE|AP00106;DATABASE|AP00107;DATABASE|AP00108	True	False
DATABASE|AP00109	1	DATABASE	DATABASE	DATABASE|AP00109	True	False
DATABASE|AP00110	2	DATABASE	DATABASE	DATABASE|AP00110;DATABASE|AP00597	True	False
DATABASE|AP00111	1	DATABASE	DATABASE	DATABASE|AP00111	True	False
DATABASE|AP00112	2	DATABASE	DATABASE	DATABASE|AP00112;DATABASE|AP00595	True	False
DATABASE|AP00116	2	DATABASE	DATABASE	DATABASE|AP00116;DATABASE|AP02415	True	False
DATABASE|AP00123	1	DATABASE	DATABASE	DATABASE|AP00123	True	False
DATABASE|AP00136	1	DATABASE	DATABASE	DATABASE|AP00136	True	False
DATABASE|AP00149	1	DATABASE	DATABASE	DATABASE|AP00149	True	False
DATABASE|AP00152	1	DATABASE	DATABASE	DATABASE|AP00152	True	False
DATABASE|AP00153	1	DATABASE	DATABASE	DATABASE|AP00153	True	False
DATABASE|AP00157	6	DATABASE	DATABASE	DATABASE|AP00157;DATABASE|AP03039;DATABASE|AP00935;DATABASE|sp|P86280|DMS8_PHYBU_Dermaseptin_DS_VIII-like_peptide_OS=Phyllomedusa_burmeisteri_OX=39413_PE=1_SV=1;DATABASE|AP00158;DATABASE|AP00957	True	False
DATABASE|AP00160	2	DATABASE	DATABASE	DATABASE|AP00160;DATABASE|CAMPSQ467_Dermaseptin-4	True	False
DATABASE|AP00168	2	DATABASE	DATABASE	DATABASE|AP00168;DATABASE|AP00169	True	False
DATABASE|AP00200	1	DATABASE	DATABASE	DATABASE|AP00200	True	False
DATABASE|AP00201	1	DATABASE	DATABASE	DATABASE|AP00201	True	False
DATABASE|AP00209	2	DATABASE	DATABASE	DATABASE|AP00209;DATABASE|sp|C0HK91|CPFB4_XENBO_Caerulein_precursor_fragment_B4_OS=Xenopus_borealis_OX=8354_PE=1_SV=1	True	False
DATABASE|AP00219	6	DATABASE	DATABASE	DATABASE|AP00219;DATABASE|AP00218;DATABASE|AP00195;DATABASE|AP00221;DATABASE|AP00220;DATABASE|CAMPSQ10289_Protegrin-1	True	False
DATABASE|AP00244	1	DATABASE	DATABASE	DATABASE|AP00244	True	False
DATABASE|AP00261	1	DATABASE	DATABASE	DATABASE|AP00261	True	False
DATABASE|AP00262	1	DATABASE	DATABASE	DATABASE|AP00262	True	False
DATABASE|AP00263	1	DATABASE	DATABASE	DATABASE|AP00263	True	False
DATABASE|AP00273	1	DATABASE	DATABASE	DATABASE|AP00273	True	False
DATABASE|AP00276	3	DATABASE	DATABASE	DATABASE|AP00276;DATABASE|AP00277;DATABASE|AP00280	True	False
DATABASE|AP00284	1	DATABASE	DATABASE	DATABASE|AP00284	True	False
DATABASE|AP00291	3	DATABASE	DATABASE	DATABASE|AP00291;DATABASE|AP00290;DATABASE|CAMPSQ303_AntimicrobialpeptideD5	True	False
