cluster_id	cluster_size	sources	members	has_DATABASE	has_PRED
cluster_1	69	PRED	PRED|NP_001236011.1_stigma-specific_STIG1-like_protein_precursor_[Glycine_max]|1.0|0.88||Stigma-specific_protein_Stig1-like;PRED|NP_001237283.2_stigma-specific_STIG1-like_protein_precursor_[Glycine_max]|0.95|0.89||Stigma-specific_protein_Stig1-like;PRED|NP_683300.2_Stigma-specific_Stig1_family_protein_[Arabidopsis_thaliana]|0.99|0.94||Stigma-specific_protein_Stig1-like;PRED|XP_002263583.1_protein_STIG1_[Vitis_vinifera]|0.8|0.76||Stigma-specific_protein_Stig1-like;PRED|XP_002263655.1_protein_STIG1_[Vitis_vinifera]|0.89|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_002263768.1_stigma-specific_STIG1-like_protein_1_[Vitis_vinifera]|0.96|0.92||Stigma-specific_protein_Stig1-like;PRED|XP_002263884.1_stigma-specific_STIG1-like_protein_1_[Vitis_vinifera]|0.98|0.92||Stigma-specific_protein_Stig1-like;PRED|XP_002445729.1_stigma-specific_STIG1-like_protein_4_[Sorghum_bicolor]|0.99|0.88||Stigma-specific_protein_Stig1-like;PRED|XP_002445730.1_stigma-specific_STIG1-like_protein_4_[Sorghum_bicolor]|0.99|0.92||Stigma-specific_protein_Stig1-like;PRED|XP_002451313.1_protein_STIG1_[Sorghum_bicolor]|0.9|0.9||Stigma-specific_protein_Stig1-like;PRED|XP_002454857.1_stigma-specific_STIG1-like_protein_3_[Sorghum_bicolor]|0.88|0.94||Stigma-specific_protein_Stig1-like;PRED|XP_002968721.2_stigma-specific_STIG1-like_protein_2_[Selaginella_moellendorffii]|0.78|0.83||Stigma-specific_protein_Stig1-like;PRED|XP_002986413.1_stigma-specific_STIG1-like_protein_3_[Selaginella_moellendorffii]|0.97|0.88||Stigma-specific_protein_Stig1-like;PRED|XP_002990607.2_stigma-specific_STIG1-like_protein_2_[Selaginella_moellendorffii]|0.84|0.79||Stigma-specific_protein_Stig1-like;PRED|XP_003532141.3_stigma-specific_STIG1-like_protein_1_[Glycine_max]|0.94|0.9||Stigma-specific_protein_Stig1-like;PRED|XP_003534627.1_stigma-specific_STIG1-like_protein_1_[Glycine_max]|1.0|0.92||Stigma-specific_protein_Stig1-like;PRED|XP_003540467.1_protein_GRIM_REAPER_[Glycine_max]|0.96|0.91||Stigma-specific_protein_Stig1-like;PRED|XP_003553061.1_stigma-specific_STIG1-like_protein_4_[Glycine_max]|0.89|0.9||Stigma-specific_protein_Stig1-like;PRED|XP_003565580.1_stigma-specific_STIG1-like_protein_1_[Brachypodium_distachyon]|0.98|0.94||Stigma-specific_protein_Stig1-like;PRED|XP_003596764.1_protein_GRIM_REAPER_[Medicago_truncatula]|0.75|0.92||Stigma-specific_protein_Stig1-like;PRED|XP_003634714.1_stigma-specific_STIG1-like_protein_2_[Vitis_vinifera]|0.96|0.84||Stigma-specific_protein_Stig1-like;PRED|XP_004145194.1_stigma-specific_STIG1-like_protein_1_[Cucumis_sativus]|0.86|0.84||Stigma-specific_protein_Stig1-like;PRED|XP_004145195.1_stigma-specific_STIG1-like_protein_1_[Cucumis_sativus]|0.87|0.9||Stigma-specific_protein_Stig1-like;PRED|XP_004149335.2_stigma-specific_STIG1-like_protein_1_[Cucumis_sativus]|0.61|0.87||Stigma-specific_protein_Stig1-like;PRED|XP_006345619.2_stigma-specific_STIG1-like_protein_2_[Solanum_tuberosum]|0.71|0.86||Stigma-specific_protein_Stig1-like;PRED|XP_006347464.2_stigma-specific_STIG1-like_protein_1_[Solanum_tuberosum]|0.98|0.86||Stigma-specific_protein_Stig1-like;PRED|XP_006348208.1_stigma-specific_STIG1-like_protein_3_[Solanum_tuberosum]|1.0|0.88||Stigma-specific_protein_Stig1-like;PRED|XP_006364233.1_stigma-specific_STIG1-like_protein_4_[Solanum_tuberosum]|0.94|0.87||Stigma-specific_protein_Stig1-like;PRED|XP_006370247.1_protein_GRIM_REAPER_[Populus_trichocarpa]|0.87|0.95||Stigma-specific_protein_Stig1-like;PRED|XP_006377165.1_stigma-specific_STIG1-like_protein_1_[Populus_trichocarpa]|1.0|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_006380147.2_stigma-specific_STIG1-like_protein_4_[Populus_trichocarpa]|0.75|0.83||Stigma-specific_protein_Stig1-like;PRED|XP_006383878.2_stigma-specific_STIG1-like_protein_1_[Populus_trichocarpa]|0.98|0.91||Stigma-specific_protein_Stig1-like;PRED|XP_006383881.3_stigma-specific_STIG1-like_protein_1_isoform_X1_[Populus_trichocarpa]|0.86|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_006586759.1_stigma-specific_STIG1-like_protein_3_[Glycine_max]|1.0|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_007020751.2_PREDICTED:_stigma-specific_STIG1-like_protein_1_[Theobroma_cacao]|1.0|0.91||Stigma-specific_protein_Stig1-like;PRED|XP_007026138.1_PREDICTED:_stigma-specific_STIG1-like_protein_3_[Theobroma_cacao]|0.9|0.88||Stigma-specific_protein_Stig1-like;PRED|XP_007026139.2_PREDICTED:_stigma-specific_STIG1-like_protein_1_[Theobroma_cacao]|0.95|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_007026141.2_PREDICTED:_stigma-specific_STIG1-like_protein_1_[Theobroma_cacao]|0.97|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_007026144.1_PREDICTED:_stigma-specific_STIG1-like_protein_1_[Theobroma_cacao]|0.94|0.87||Stigma-specific_protein_Stig1-like;PRED|XP_007035613.2_PREDICTED:_stigma-specific_STIG1-like_protein_1_[Theobroma_cacao]|0.82|0.91||Stigma-specific_protein_Stig1-like;PRED|XP_008356862.3_stigma-specific_STIG1-like_protein_1_[Malus_domestica]|1.0|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_008367040.3_protein_GRIM_REAPER_[Malus_domestica]|0.66|0.9||Stigma-specific_protein_Stig1-like;PRED|XP_008664584.1_stigma-specific_STIG1-like_protein_3_[Zea_mays]|0.97|0.92||Stigma-specific_protein_Stig1-like;PRED|XP_010644491.2_stigma-specific_STIG1-like_protein_3_[Vitis_vinifera]|1.0|0.9||Stigma-specific_protein_Stig1-like;PRED|XP_010644539.1_stigma-specific_STIG1-like_protein_1_[Vitis_vinifera]|0.7|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_010644540.1_stigma-specific_STIG1-like_protein_1_[Vitis_vinifera]|1.0|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_010655412.1_stigma-specific_STIG1-like_protein_1_[Vitis_vinifera]|0.97|0.92||Stigma-specific_protein_Stig1-like;PRED|XP_010655413.1_stigma-specific_STIG1-like_protein_1_[Vitis_vinifera]|0.57|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_011652551.1_stigma-specific_STIG1-like_protein_1_[Cucumis_sativus]|0.98|0.95||Stigma-specific_protein_Stig1-like;PRED|XP_013455508.1_stigma-specific_STIG1-like_protein_1_[Medicago_truncatula]|0.75|0.87||Stigma-specific_protein_Stig1-like;PRED|XP_013459849.1_stigma-specific_STIG1-like_protein_3_[Medicago_truncatula]|0.97|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_013462876.1_stigma-specific_STIG1-like_protein_1_[Medicago_truncatula]|1.0|0.9||Stigma-specific_protein_Stig1-like;PRED|XP_015638567.1_protein_STIG1-like_[Oryza_sativa_Japonica_Group]|1.0|0.93||Stigma-specific_protein_Stig1-like;PRED|XP_015639041.1_stigma-specific_STIG1-like_protein_2_[Oryza_sativa_Japonica_Group]|1.0|0.93||Stigma-specific_protein_Stig1-like;PRED|XP_015645315.3_stigma-specific_STIG1-like_protein_3_[Oryza_sativa_Japonica_Group]|0.98|0.92||Stigma-specific_protein_Stig1-like;PRED|XP_017978368.1_PREDICTED:_stigma-specific_STIG1-like_protein_1_[Theobroma_cacao]|0.99|0.91||Stigma-specific_protein_Stig1-like;PRED|XP_020398158.1_stigma-specific_STIG1-like_protein_2_[Zea_mays]|0.97|0.92||Stigma-specific_protein_Stig1-like;PRED|XP_020406244.1_stigma-specific_STIG1-like_protein_4_[Zea_mays]|0.78|0.9||Stigma-specific_protein_Stig1-like;PRED|XP_021315114.1_stigma-specific_STIG1-like_protein_1_[Sorghum_bicolor]|0.82|0.94||Stigma-specific_protein_Stig1-like;PRED|XP_024369986.1_uncharacterized_protein_[Physcomitrium_patens]|0.97|0.95||Stigma-specific_protein_Stig1-like;PRED|XP_024369987.1_uncharacterized_protein_[Physcomitrium_patens]|0.88|0.95||Stigma-specific_protein_Stig1-like;PRED|XP_024448025.1_stigma-specific_STIG1-like_protein_1_[Populus_trichocarpa]|0.97|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_024450860.2_stigma-specific_STIG1-like_protein_1_[Populus_trichocarpa]|0.66|0.82||Stigma-specific_protein_Stig1-like;PRED|XP_024518264.1_stigma-specific_STIG1-like_protein_3_[Selaginella_moellendorffii]|0.96|0.87||Stigma-specific_protein_Stig1-like;PRED|XP_052307951.1_stigma-specific_STIG1-like_protein_1_isoform_X2_[Populus_trichocarpa]|0.93|0.89||Stigma-specific_protein_Stig1-like;PRED|XP_070662529.1_stigma-specific_STIG1-like_protein_1_[Malus_domestica]|1.0|0.88||Stigma-specific_protein_Stig1-like;PRED|XP_070678092.1_stigma-specific_STIG1-like_protein_1_[Malus_domestica]|0.97|0.9||Stigma-specific_protein_Stig1-like;PRED|XP_070679003.1_stigma-specific_STIG1-like_protein_3_[Malus_domestica]|1.0|0.88||Stigma-specific_protein_Stig1-like;PRED|XP_070681681.1_stigma-specific_STIG1-like_protein_1_[Malus_domestica]|1.0|0.88||Stigma-specific_protein_Stig1-like	False	True
cluster_10	17	DATABASE;PRED	DATABASE|AP00147||Moricin_family;DATABASE|AP00372||Moricin_family;DATABASE|AP00373||Moricin_family;DATABASE|AP00554||Moricin_family;DATABASE|AP00834||Moricin_family;DATABASE|AP00835||Moricin_family;DATABASE|AP00836||Moricin_family;DATABASE|AP00837||Moricin_family;DATABASE|AP00838||Moricin_family;DATABASE|AP00839||Moricin_family;DATABASE|AP00840||Moricin_family;DATABASE|AP02016||Moricin_family;DATABASE|AP03137||Moricin_family;DATABASE|AP04194||Moricin_family;DATABASE|AP04195||Moricin_family;DATABASE|CAMPSQ2910_Gmellonellamoricin-likepeptideA||Moricin_family;PRED|NP_001036829.2_moricin-2_precursor_[Bombyx_mori]|1.0|0.92||Moricin_family	True	True
cluster_100	2	PRED	PRED|XP_009049571.1_hypothetical_protein_LOTGIDRAFT_89051_partial_[Lottia_gigantea]|0.96|0.71||Phage_fibre_proteins;PRED|XP_009060355.1_hypothetical_protein_LOTGIDRAFT_106239_partial_[Lottia_gigantea]|0.55|0.94||Phage_fibre_proteins	False	True
cluster_1000	1	DATABASE	DATABASE|AP02628||Urease_Alpha_Subunit	True	False
cluster_1001	2	PRED	PRED|WP_070116873.1_PTS_sugar_transporter_subunit_IIB_[Clostridioides_difficile]|0.54|0.76||PTS_system_IIB_component-like_superfamily;PRED|XP_009048926.1_hypothetical_protein_LOTGIDRAFT_88126_partial_[Lottia_gigantea]|0.96|0.76||Atrial_Natriuretic_Peptide_Clearance_Receptor|Periplasmic_binding_protein-like_I|Receptor,_ligand_binding_region	False	True
cluster_1002	1	PRED	PRED|XP_746339.1_uncharacterized_protein_AFUA_4G01180_[Aspergillus_fumigatus_Af293]|0.75|0.88||bacteriocin_fulvocin_C-related_protein	False	True
cluster_1003	2	PRED	PRED|XP_040034392.1_echinoderm_microtubule-associated_protein-like_6_[Gasterosteus_aculeatus_aculeatus]|0.9|0.83||HELP_motif|WD_repeat_Echinoderm_Microtubule-associated_Protein-like;PRED|XP_040034394.1_echinoderm_microtubule-associated_protein-like_6_[Gasterosteus_aculeatus_aculeatus]|0.9|0.84||HELP_motif|WD_repeat_Echinoderm_Microtubule-associated_Protein-like	False	True
cluster_1004	1	PRED	PRED|XP_009046619.1_hypothetical_protein_LOTGIDRAFT_137978_partial_[Lottia_gigantea]|0.54|0.9||Circadian_locomoter_output_cycles_protein_kaput-like	False	True
cluster_1005	1	PRED	PRED|WP_003403683.1_MULTISPECIES:_50S_ribosomal_protein_L30_[Mycobacterium]|0.5|0.71||Large_ribosomal_subunit_protein_uL30,_bacterial-type	False	True
cluster_1006	2	PRED	PRED|NP_001035359.1_Queen_brain-selective_protein-1_precursor_[Apis_mellifera]|0.84|0.93||Neuroparsin;PRED|XP_026296327.1_queen_brain-selective_protein-1_isoform_X1_[Apis_mellifera]|0.84|0.93||Neuroparsin	False	True
