rep	cluster_size	sources_rep	sources_members	members	has_DATABASE	has_PRED
PRED|XP_024382010.1	180	PRED	PRED	PRED|XP_024382010.1;PRED|XP_073391724.1;PRED|XP_024381972.1;PRED|XP_024393799.1;PRED|XP_024393822.1;PRED|XP_024393926.1;PRED|XP_024394013.1;PRED|XP_024380581.1;PRED|XP_024388287.1;PRED|XP_002961058.2;PRED|XP_002966951.2;PRED|NP_172717.1;PRED|XP_006370276.3;PRED|XP_006358384.1;PRED|XP_006341021.1;PRED|XP_040865802.1;PRED|XP_006346675.1;PRED|XP_006365348.1;PRED|XP_002437295.1;PRED|NP_001409615.1;PRED|XP_020408344.1;PRED|XP_002454289.1;PRED|NP_001403817.1;PRED|NP_001105642.2;PRED|NP_001304345.2;PRED|XP_003519289.1;PRED|XP_003544930.1;PRED|XP_024639442.1;PRED|XP_015624731.1;PRED|NP_001403427.1;PRED|XP_015624166.1;PRED|XP_002974898.2;PRED|NP_001320974.1;PRED|NP_173446.1;PRED|XP_025983865.1;PRED|XP_002974158.2;PRED|XP_002319409.1;PRED|XP_002307745.1;PRED|XP_002300688.2;PRED|XP_002968814.1;PRED|XP_024535553.1;PRED|NP_001241931.2;PRED|NP_001242219.2;PRED|XP_024529372.1;PRED|XP_006349505.1;PRED|XP_024518473.1;PRED|XP_024518474.1;PRED|XP_024523801.1;PRED|XP_002990633.1;PRED|XP_002968747.1;PRED|XP_008673898.1;PRED|XP_021313722.1;PRED|XP_021313723.1;PRED|XP_021313724.1;PRED|XP_021313725.1;PRED|XP_008673899.1;PRED|XP_002455446.1;PRED|XP_021313716.1;PRED|XP_021313717.1;PRED|XP_021313718.1;PRED|XP_021313719.1;PRED|XP_021313720.1;PRED|XP_021313721.1;PRED|XP_024454950.1;PRED|XP_024444656.2;PRED|XP_006366709.1;PRED|XP_052304572.1;PRED|XP_003621257.1;PRED|XP_059598647.1;PRED|XP_006358751.1;PRED|NP_001404595.1;PRED|NP_192072.1;PRED|XP_003566356.1;PRED|NP_001407224.1;PRED|XP_002309181.2;PRED|XP_002323665.1;PRED|XP_052311434.1;PRED|XP_003518007.1;PRED|XP_008389456.1;PRED|XP_007022729.2;PRED|XP_003527088.1;PRED|XP_013459280.1;PRED|NP_178409.2;PRED|XP_008367551.2;PRED|XP_024638848.1;PRED|NP_001238053.1;PRED|XP_024454951.1;PRED|NP_001267535.1;PRED|XP_003523015.1;PRED|NP_001240136.1;PRED|XP_002284858.1;PRED|XP_040871274.1;PRED|XP_040871276.1;PRED|XP_003529476.1;PRED|XP_017976972.1;PRED|XP_010228562.1;PRED|NP_001319356.1;PRED|XP_008361782.2;PRED|NP_001332569.1;PRED|XP_006378591.1;PRED|XP_002269517.1;PRED|NP_200443.1;PRED|XP_002312253.1;PRED|NP_177112.1;PRED|XP_052309061.1;PRED|NP_849868.1;PRED|XP_002306037.2;PRED|XP_007022728.2;PRED|XP_002982383.2;PRED|XP_010651411.1;PRED|XP_008374794.2;PRED|NP_173999.1;PRED|XP_028945307.2;PRED|XP_002966542.1;PRED|XP_008369371.1;PRED|XP_013460425.1;PRED|XP_013460427.1;PRED|NP_001077599.1;PRED|XP_024401935.1;PRED|XP_015162460.1;PRED|XP_002280300.1;PRED|XP_002325925.3;PRED|XP_010229185.1;PRED|NP_001407225.1;PRED|XP_008651162.1;PRED|XP_020402360.1;PRED|XP_002464570.1;PRED|XP_003563572.1;PRED|XP_002298353.1;PRED|XP_002283530.1;PRED|NP_001354275.1;PRED|XP_003543517.1;PRED|XP_003519349.1;PRED|XP_003552064.1;PRED|XP_003544219.1;PRED|XP_008384848.1;PRED|XP_003552173.1;PRED|XP_007016396.1;PRED|XP_008357089.2;PRED|NP_001150534.2;PRED|NP_180461.1;PRED|XP_008648280.1;PRED|XP_006366490.1;PRED|XP_002266625.1;PRED|XP_017985150.1;PRED|XP_003552923.2;PRED|XP_002309061.1;PRED|XP_002315218.3;PRED|NP_001292670.1;PRED|NP_181300.1;PRED|NP_195846.1;PRED|NP_001389240.1;PRED|XP_007027012.2;PRED|NP_001295860.1;PRED|XP_003547326.1;PRED|NP_001407476.1;PRED|XP_003538409.1;PRED|NP_001324717.1;PRED|NP_181500.1;PRED|XP_003616412.1;PRED|XP_013465412.1;PRED|XP_002312101.1;PRED|NP_001242978.1;PRED|NP_001236550.2;PRED|XP_002441263.1;PRED|XP_002283358.1;PRED|XP_013461515.1;PRED|XP_013461516.1;PRED|XP_024360245.1;PRED|XP_024382178.1;PRED|XP_024401699.1;PRED|XP_024359036.1;PRED|XP_024360246.1;PRED|XP_002464573.1;PRED|XP_002464572.1;PRED|XP_059590858.1;PRED|XP_006581153.1;PRED|XP_008357118.2;PRED|XP_006581154.3;PRED|XP_024392177.1	False	True
PRED|XP_021321803.1	134	PRED	PRED	PRED|XP_021321803.1;PRED|XP_021312137.1;PRED|XP_003559027.1;PRED|XP_021302324.1;PRED|XP_021302325.1;PRED|XP_021302326.1;PRED|XP_021302327.1;PRED|NP_172673.1;PRED|XP_021302329.1;PRED|XP_003525810.1;PRED|NP_001309734.1;PRED|NP_001235008.2;PRED|XP_007039884.2;PRED|XP_003608748.1;PRED|XP_011654795.1;PRED|XP_031741209.1;PRED|XP_004152411.3;PRED|XP_004152412.1;PRED|XP_004152413.3;PRED|XP_003603362.1;PRED|XP_003580295.1;PRED|XP_014756205.1;PRED|XP_006355478.1;PRED|XP_070681325.1;PRED|XP_002271461.1;PRED|XP_015167877.1;PRED|XP_015167879.1;PRED|XP_007039887.1;PRED|NP_001237995.1;PRED|XP_006368193.1;PRED|XP_024456873.1;PRED|XP_004150818.1;PRED|NP_172674.2;PRED|NP_199500.1;PRED|NP_199501.1;PRED|XP_003559026.1;PRED|XP_002464969.1;PRED|NP_566036.1;PRED|XP_014630977.1;PRED|XP_003608741.1;PRED|NP_001235888.2;PRED|XP_003609035.1;PRED|NP_001235511.1;PRED|NP_001238461.1;PRED|XP_003525817.1;PRED|XP_004140487.1;PRED|XP_002466035.1;PRED|NP_001235027.1;PRED|NP_001237154.1;PRED|NP_001152193.1;PRED|NP_176440.1;PRED|XP_002270769.1;PRED|XP_008389722.1;PRED|XP_003608743.1;PRED|XP_007039886.2;PRED|XP_006355479.1;PRED|XP_002271792.1;PRED|NP_567391.1;PRED|NP_567392.1;PRED|XP_008392581.1;PRED|XP_004152410.2;PRED|XP_015613321.1;PRED|XP_003572057.2;PRED|NP_001235642.2;PRED|NP_001238293.2;PRED|XP_003549906.1;PRED|XP_003549907.1;PRED|XP_024452830.1;PRED|XP_040871857.1;PRED|XP_006355477.1;PRED|XP_002271619.1;PRED|XP_003580532.1;PRED|NP_001152394.1;PRED|XP_015633860.1;PRED|XP_021318336.1;PRED|NP_001288371.1;PRED|XP_017984490.1;PRED|XP_017984491.1;PRED|XP_017984494.1;PRED|NP_192992.1;PRED|XP_008658410.1;PRED|XP_002467518.1;PRED|NP_001152564.1;PRED|NP_001152585.2;PRED|NP_001152587.1;PRED|XP_021313853.1;PRED|XP_015634557.1;PRED|XP_021313854.1;PRED|XP_002454523.1;PRED|XP_002454525.1;PRED|XP_015614023.1;PRED|XP_015635126.1;PRED|XP_002454526.1;PRED|XP_002454527.1;PRED|XP_002446913.1;PRED|XP_002446914.1;PRED|XP_002446915.1;PRED|NP_001353674.1;PRED|XP_015623072.1;PRED|XP_021315424.1;PRED|XP_021315425.1;PRED|XP_008663526.1;PRED|XP_015614844.1;PRED|XP_015614845.1;PRED|XP_015614847.1;PRED|NP_001151721.2;PRED|XP_002464967.1;PRED|XP_015613769.2;PRED|XP_015642579.1;PRED|XP_015635248.1;PRED|NP_001141168.1;PRED|XP_002446916.1;PRED|XP_006366743.1;PRED|XP_003546415.1;PRED|XP_006369032.1;PRED|XP_006606931.1;PRED|XP_003555521.2;PRED|XP_031742123.1;PRED|XP_002448630.1;PRED|XP_006367620.1;PRED|XP_006367621.1;PRED|XP_006367623.1;PRED|XP_003594279.1;PRED|NP_001237088.1;PRED|NP_001241194.1;PRED|XP_003533833.1;PRED|XP_002271593.1;PRED|XP_052309729.1;PRED|XP_002285197.1;PRED|XP_006353678.1;PRED|XP_006347893.1;PRED|NP_193983.1;PRED|NP_001078428.1;PRED|NP_001078429.1	False	True
PRED|XP_008379577.2	111	PRED	PRED	PRED|XP_008379577.2;PRED|XP_002275321.1;PRED|XP_002275421.1;PRED|XP_002275551.1;PRED|NP_001239762.1;PRED|XP_008379576.1;PRED|XP_017980553.1;PRED|XP_017980554.1;PRED|XP_017980555.1;PRED|NP_001236396.1;PRED|XP_008362244.1;PRED|XP_002274859.1;PRED|XP_002274919.1;PRED|XP_019078846.1;PRED|XP_002274988.1;PRED|NP_001234946.1;PRED|XP_008341930.1;PRED|XP_002275082.1;PRED|XP_003543361.1;PRED|XP_002275274.1;PRED|XP_004136807.1;PRED|XP_004136808.1;PRED|XP_006582333.1;PRED|XP_006582335.1;PRED|XP_003527464.1;PRED|XP_003527466.1;PRED|XP_025984800.1;PRED|XP_011658732.1;PRED|XP_014632302.1;PRED|XP_006357541.1;PRED|XP_006357545.1;PRED|XP_015168932.1;PRED|XP_006357537.1;PRED|XP_006357539.1;PRED|XP_004136809.1;PRED|XP_003527454.1;PRED|XP_003527460.1;PRED|XP_040869614.1;PRED|XP_002275507.1;PRED|XP_003527463.1;PRED|NP_567288.1;PRED|XP_008386089.2;PRED|XP_007043471.2;PRED|XP_013465013.1;PRED|XP_013465017.1;PRED|XP_052301443.1;PRED|XP_006371639.2;PRED|XP_002275343.1;PRED|XP_024447066.1;PRED|XP_008386088.1;PRED|XP_008386090.1;PRED|XP_017980549.1;PRED|XP_017980551.1;PRED|XP_052305547.1;PRED|XP_052305548.1;PRED|XP_052305549.1;PRED|XP_052305551.1;PRED|XP_006371638.2;PRED|XP_007021243.1;PRED|XP_006594865.1;PRED|XP_014620330.1;PRED|NP_192765.1;PRED|XP_066166034.1;PRED|XP_003580640.1;PRED|XP_002448598.1;PRED|NP_001146921.1;PRED|XP_002448600.1;PRED|XP_013464786.1;PRED|XP_010240486.1;PRED|XP_002448597.1;PRED|XP_003580637.1;PRED|XP_024633071.1;PRED|NP_001238192.1;PRED|XP_013465014.1;PRED|XP_013465016.1;PRED|XP_015637246.1;PRED|NP_849355.1;PRED|XP_013465020.1;PRED|XP_013465011.1;PRED|XP_013465015.1;PRED|XP_013465023.1;PRED|XP_006357542.1;PRED|XP_006357544.1;PRED|XP_006357546.1;PRED|XP_006357540.1;PRED|XP_003540435.1;PRED|XP_024631521.1;PRED|XP_003540436.1;PRED|XP_013464784.1;PRED|XP_013464785.1;PRED|XP_003543269.1;PRED|XP_003543272.1;PRED|XP_024439963.1;PRED|XP_006371642.1;PRED|XP_052305550.1;PRED|XP_006371630.1;PRED|XP_006371631.2;PRED|XP_006371633.3;PRED|XP_006371637.2;PRED|XP_007043469.2;PRED|XP_013455571.1;PRED|XP_025880624.2;PRED|NP_001339944.1;PRED|XP_002448599.1;PRED|XP_066165488.1;PRED|XP_015635673.1;PRED|XP_015637244.1;PRED|XP_002453343.1;PRED|XP_010233840.1;PRED|NP_001237984.2;PRED|XP_003543362.1	False	True
PRED|XP_015167339.1	110	PRED	PRED	PRED|XP_015167339.1;PRED|XP_028952393.1;PRED|XP_039686359.1;PRED|XP_024317705.1;PRED|XP_066168700.1;PRED|XP_039688657.1;PRED|XP_017975743.1;PRED|XP_059597273.1;PRED|XP_059597274.1;PRED|XP_052307876.1;PRED|XP_070667282.1;PRED|XP_070667283.1;PRED|NP_001325866.1;PRED|XP_070667284.1;PRED|NP_001325867.1;PRED|XP_059593888.1;PRED|NP_001325868.1;PRED|XP_003605950.2;PRED|XP_052310878.1;PRED|XP_052310879.1;PRED|XP_052312717.1;PRED|XP_052310880.1;PRED|XP_052312718.1;PRED|XP_011652766.2;PRED|XP_052310881.1;PRED|XP_025981457.1;PRED|XP_052310882.1;PRED|NP_188987.1;PRED|XP_052310883.1;PRED|XP_008653133.1;PRED|XP_052310884.1;PRED|XP_017181321.2;PRED|XP_070675909.1;PRED|XP_052310885.1;PRED|XP_017974310.1;PRED|XP_070675910.1;PRED|XP_052310886.1;PRED|XP_040863469.1;PRED|XP_052310887.1;PRED|XP_052310888.1;PRED|XP_031737441.1;PRED|XP_052310889.1;PRED|XP_014624991.2;PRED|XP_052310890.1;PRED|XP_070665763.1;PRED|XP_003603591.1;PRED|XP_052311205.1;PRED|XP_052311206.1;PRED|XP_021309080.1;PRED|XP_052311207.1;PRED|XP_052311208.1;PRED|XP_052311209.1;PRED|XP_052311210.1;PRED|XP_052311211.1;PRED|XP_052311212.1;PRED|XP_028947548.1;PRED|XP_039683957.1;PRED|XP_021308668.1;PRED|XP_052307869.1;PRED|XP_052307870.1;PRED|XP_052307871.1;PRED|XP_052307873.1;PRED|XP_052307879.1;PRED|XP_052307883.1;PRED|XP_052307885.1;PRED|XP_052307887.1;PRED|XP_052307890.1;PRED|XP_052307895.1;PRED|XP_052307911.1;PRED|XP_052307913.1;PRED|XP_052307915.1;PRED|XP_052307918.1;PRED|XP_052307920.1;PRED|XP_052307922.1;PRED|XP_059593043.1;PRED|XP_008653508.1;PRED|XP_052307924.1;PRED|XP_021308569.1;PRED|XP_025883012.1;PRED|XP_024437748.1;PRED|XP_024437755.1;PRED|XP_021309264.1;PRED|XP_013459815.2;PRED|XP_015165229.1;PRED|XP_021309265.1;PRED|XP_040870796.1;PRED|XP_011650511.1;PRED|XP_008385867.1;PRED|XP_052307875.1;PRED|XP_039684472.1;PRED|XP_039684476.1;PRED|XP_003553069.1;PRED|XP_039684478.1;PRED|NP_001154547.1;PRED|NP_188682.1;PRED|XP_052307904.1;PRED|XP_052307906.1;PRED|XP_052307908.1;PRED|XP_030828991.1;PRED|XP_003530754.1;PRED|XP_017180352.3;PRED|XP_070675908.1;PRED|XP_975882.1;PRED|XP_052307916.1;PRED|XP_052307917.1;PRED|XP_010650270.3;PRED|XP_008655006.2;PRED|XP_015160435.1;PRED|XP_015160437.1;PRED|XP_015160436.1	False	True
PRED|XP_006355634.1	84	PRED	PRED	PRED|XP_006355634.1;PRED|XP_024360784.1;PRED|XP_073386300.1;PRED|XP_024360785.1;PRED|XP_024360786.1;PRED|XP_008384167.1;PRED|XP_003610578.2;PRED|XP_008370987.1;PRED|XP_003549517.1;PRED|NP_201129.1;PRED|XP_006584094.1;PRED|XP_004140010.1;PRED|XP_010647425.3;PRED|XP_008380557.1;PRED|XP_002452133.1;PRED|XP_003572546.1;PRED|NP_181821.1;PRED|XP_003531315.1;PRED|XP_003607801.1;PRED|XP_003556650.1;PRED|NP_001324360.1;PRED|NP_001324359.1;PRED|NP_001324361.1;PRED|NP_671770.1;PRED|XP_004135148.1;PRED|XP_006582014.1;PRED|NP_001321300.1;PRED|XP_006363002.1;PRED|XP_059596369.1;PRED|XP_007049293.1;PRED|XP_003617961.2;PRED|XP_002321180.1;PRED|XP_006363003.1;PRED|XP_028963850.2;PRED|XP_010657449.1;PRED|XP_008342358.3;PRED|XP_003569882.1;PRED|XP_017972732.1;PRED|XP_010229693.1;PRED|NP_001236462.1;PRED|NP_201130.1;PRED|NP_001031243.1;PRED|NP_001117561.1;PRED|NP_200172.1;PRED|XP_008368643.3;PRED|XP_003540954.2;PRED|XP_002279275.1;PRED|XP_019078802.1;PRED|XP_003526243.2;PRED|XP_024439173.2;PRED|XP_003566315.1;PRED|XP_017980412.1;PRED|XP_003546744.1;PRED|XP_002285661.1;PRED|XP_003543175.1;PRED|XP_013464448.2;PRED|NP_001324910.1;PRED|XP_017978056.1;PRED|XP_017978057.1;PRED|XP_017978058.1;PRED|XP_017978059.1;PRED|NP_201128.2;PRED|NP_177973.4;PRED|NP_001118955.1;PRED|NP_001118954.1;PRED|NP_001118956.1;PRED|NP_001118957.1;PRED|NP_192648.2;PRED|NP_001078361.1;PRED|NP_001141170.1;PRED|NP_001388370.1;PRED|XP_002443816.1;PRED|XP_008667269.1;PRED|NP_001344788.1;PRED|XP_066160100.1;PRED|XP_066160102.1;PRED|XP_066160105.1;PRED|XP_002446660.1;PRED|XP_004146007.1;PRED|XP_006360028.1;PRED|XP_008366524.1;PRED|XP_003629685.1;PRED|NP_973680.1;PRED|NP_850398.1	False	True
PRED|XP_002457590.1	70	PRED	PRED	PRED|XP_002457590.1;PRED|NP_001384497.1;PRED|XP_003566535.1;PRED|NP_001355115.1;PRED|XP_015633048.1;PRED|XP_015613851.1;PRED|XP_002442268.1;PRED|NP_001150599.1;PRED|XP_002319521.1;PRED|XP_006382486.1;PRED|XP_007030995.2;PRED|XP_006606531.1;PRED|XP_008386646.3;PRED|XP_002273386.1;PRED|NP_001147163.2;PRED|XP_003609670.2;PRED|XP_003529566.1;PRED|NP_001327214.1;PRED|NP_001327215.1;PRED|XP_003536069.1;PRED|XP_006389381.1;PRED|NP_001319570.1;PRED|XP_003550267.1;PRED|XP_002321018.2;PRED|XP_059593859.1;PRED|NP_171789.1;PRED|XP_015627026.1;PRED|NP_001149446.1;PRED|XP_015641763.1;PRED|XP_015641773.1;PRED|NP_001235444.1;PRED|XP_003567676.1;PRED|NP_001319480.1;PRED|XP_015648434.1;PRED|NP_850219.1;PRED|XP_008356009.2;PRED|XP_008349249.1;PRED|XP_013457017.1;PRED|XP_007025592.1;PRED|NP_001150677.1;PRED|XP_015616046.1;PRED|XP_003575694.1;PRED|XP_015618727.1;PRED|XP_002459740.1;PRED|XP_002459039.2;PRED|XP_003567435.1;PRED|XP_006356972.1;PRED|NP_001152007.2;PRED|XP_003559814.1;PRED|XP_003632038.1;PRED|XP_031738606.1;PRED|XP_011650863.1;PRED|XP_011650864.1;PRED|XP_003561647.1;PRED|NP_567413.1;PRED|XP_004147646.3;PRED|XP_006360974.2;PRED|XP_003629616.1;PRED|NP_567418.1;PRED|NP_001152442.1;PRED|XP_004150814.1;PRED|XP_004148669.1;PRED|NP_174148.1;PRED|XP_040867832.1;PRED|XP_010230590.1;PRED|XP_003566439.1;PRED|XP_010644182.1;PRED|XP_007043620.1;PRED|XP_024444570.1;PRED|NP_179658.1	False	True
PRED|XP_075921106.1	64	PRED	PRED	PRED|XP_075921106.1;PRED|XP_075920481.1;PRED|XP_075920332.1;PRED|XP_075920333.1;PRED|XP_075920334.1;PRED|XP_075920335.1;PRED|XP_075920336.1;PRED|XP_075920337.1;PRED|XP_075920338.1;PRED|XP_075920339.1;PRED|XP_075920340.1;PRED|XP_075920341.1;PRED|XP_075920307.1;PRED|XP_075920342.1;PRED|XP_075920308.1;PRED|XP_075920343.1;PRED|XP_075920309.1;PRED|XP_075920344.1;PRED|XP_075920310.1;PRED|XP_075920345.1;PRED|XP_075920311.1;PRED|XP_075920346.1;PRED|XP_075920312.1;PRED|XP_075920347.1;PRED|XP_075920313.1;PRED|XP_075920348.1;PRED|XP_075920314.1;PRED|XP_075920349.1;PRED|XP_075920315.1;PRED|XP_075920350.1;PRED|XP_075920318.1;PRED|XP_075920351.1;PRED|XP_075920319.1;PRED|XP_075920352.1;PRED|XP_075920320.1;PRED|XP_075920353.1;PRED|XP_075920321.1;PRED|XP_075920354.1;PRED|XP_075920322.1;PRED|XP_075920355.1;PRED|XP_075920323.1;PRED|XP_075920356.1;PRED|XP_075920324.1;PRED|XP_075920357.1;PRED|XP_075920325.1;PRED|XP_075920326.1;PRED|XP_075920327.1;PRED|XP_075920329.1;PRED|XP_075920330.1;PRED|XP_075920331.1;PRED|XP_075920690.1;PRED|XP_075915791.1;PRED|XP_063136868.1;PRED|XP_063128836.1;PRED|XP_075920914.1;PRED|XP_075920915.1;PRED|XP_075920916.1;PRED|XP_075920917.1;PRED|XP_075920918.1;PRED|XP_063143690.1;PRED|XP_063133712.1;PRED|XP_075915144.1;PRED|XP_075920378.1;PRED|XP_075930414.1	False	True
PRED|XP_030853316.1	59	PRED	PRED	PRED|XP_030853316.1;PRED|XP_065934944.1;PRED|XP_065934945.1;PRED|XP_065934946.1;PRED|XP_030831017.1;PRED|XP_030831034.1;PRED|XP_030831041.1;PRED|XP_030831048.1;PRED|XP_030831054.1;PRED|XP_030847993.1;PRED|XP_030831064.1;PRED|XP_030847994.1;PRED|XP_030831072.1;PRED|XP_030847995.1;PRED|XP_030847996.1;PRED|XP_030831079.1;PRED|XP_030847997.1;PRED|XP_030847998.1;PRED|XP_030847999.1;PRED|XP_030848000.1;PRED|XP_030848001.1;PRED|XP_030831023.1;PRED|XP_030831029.1;PRED|XP_030831078.1;PRED|XP_030831086.1;PRED|XP_042201617.1;PRED|XP_048584888.1;PRED|XP_048584889.1;PRED|XP_048584890.1;PRED|XP_065928599.1;PRED|XP_065927441.1;PRED|XP_065941288.1;PRED|XP_065941291.1;PRED|XP_075924765.1;PRED|XP_014341752.1;PRED|XP_065928207.1;PRED|XP_065928208.1;PRED|XP_009059757.1;PRED|XP_030851603.1;PRED|XP_789586.4;PRED|XP_009055608.1;PRED|XP_002934300.3;PRED|XP_064417052.1;PRED|XP_064417053.1;PRED|XP_040034545.1;PRED|XP_030829028.1;PRED|XP_030829029.1;PRED|XP_795578.4;PRED|XP_030853648.1;PRED|XP_012938540.1;PRED|XP_009050338.1;PRED|XP_016853392.2;PRED|XP_052824172.1;PRED|XP_031746768.1;PRED|XP_031746769.1;PRED|XP_031746770.1;PRED|XP_008104973.3;PRED|XP_009059894.1;PRED|XP_030829281.1	False	True
PRED|XP_010644491.2	57	PRED	PRED	PRED|XP_010644491.2;PRED|XP_006364233.1;PRED|XP_003617595.1;PRED|XP_003617597.1;PRED|XP_004149335.2;PRED|XP_003553061.1;PRED|XP_006347464.2;PRED|XP_006345619.2;PRED|XP_013455508.1;PRED|XP_013459849.1;PRED|XP_024369986.1;PRED|XP_024369987.1;PRED|XP_002986413.1;PRED|XP_024518264.1;PRED|XP_006380147.2;PRED|XP_007035613.2;PRED|XP_003634714.1;PRED|XP_002263583.1;PRED|XP_010655413.1;PRED|XP_002263655.1;PRED|XP_052307951.1;PRED|XP_006383878.2;PRED|XP_017978368.1;PRED|XP_003540467.1;PRED|XP_003596764.1;PRED|XP_006348208.1;PRED|XP_002263768.1;PRED|XP_002263884.1;PRED|XP_024448025.1;PRED|XP_007026139.2;PRED|XP_010655412.1;PRED|XP_006383881.3;PRED|XP_013462876.1;PRED|XP_003534627.1;PRED|NP_001236011.1;PRED|XP_007026138.1;PRED|XP_006586759.1;PRED|XP_024450860.2;PRED|XP_007020751.2;PRED|XP_010644540.1;PRED|XP_010644539.1;PRED|XP_007026144.1;PRED|XP_006377165.1;PRED|XP_070681681.1;PRED|XP_003532141.3;PRED|NP_001237283.2;PRED|XP_008664584.1;PRED|XP_002445729.1;PRED|XP_002445730.1;PRED|XP_020406244.1;PRED|XP_020398158.1;PRED|XP_002454857.1;PRED|XP_015645315.3;PRED|XP_002451313.1;PRED|XP_015639041.1;PRED|XP_015638567.1;PRED|NP_683300.2	False	True
PRED|XP_006520324.1	56	PRED	PRED	PRED|XP_006520324.1;PRED|XP_075926824.1;PRED|XP_068073648.1;PRED|XP_075926825.1;PRED|NP_001178920.1;PRED|XP_040515218.1;PRED|XP_075926826.1;PRED|XP_001343927.3;PRED|XP_040515219.1;PRED|NP_001076436.1;PRED|XP_075926827.1;PRED|XP_075926828.1;PRED|XP_003221386.1;PRED|XP_075926829.1;PRED|XP_075926830.1;PRED|NP_001096369.1;PRED|XP_075926831.1;PRED|XP_075926832.1;PRED|XP_075926833.1;PRED|XP_075926834.1;PRED|XP_008109471.1;PRED|XP_075926835.1;PRED|XP_008109472.2;PRED|NP_056196.2;PRED|XP_064417571.1;PRED|XP_075926836.1;PRED|XP_005168593.1;PRED|XP_075926837.1;PRED|XP_005168594.1;PRED|XP_017450549.1;PRED|XP_012813881.1;PRED|XP_032836028.1;PRED|XP_073766186.1;PRED|XP_062838314.1;PRED|NP_598857.1;PRED|NP_001417297.1;PRED|XP_040019657.1;PRED|XP_007889178.1;PRED|NP_001417298.1;PRED|XP_007889179.1;PRED|NP_001239239.1;PRED|XP_075926818.1;PRED|XP_075926819.1;PRED|XP_038935695.1;PRED|XP_075926820.1;PRED|XP_029681412.1;PRED|XP_073799374.1;PRED|XP_075926821.1;PRED|XP_029681413.1;PRED|XP_075926822.1;PRED|XP_075926823.1;PRED|XP_064417570.1;PRED|XP_040048632.1;PRED|XP_040060897.1;PRED|XP_040060898.1;PRED|XP_004225767.1	False	True
