GO_ID	NS	Name	p_uncorrected	p_fdr_bh	enrichment	study_count	pop_count
GO:0006412	BP	translation	2.496e-47	3.901e-45	enriched	154	160
GO:0009664	BP	plant-type cell wall organization	6.279e-46	8.179e-44	enriched	126	126
GO:0019722	BP	calcium-mediated signaling	4.442e-25	3.306e-23	enriched	73	74
GO:0006355	BP	regulation of DNA-templated transcription	4.095e-13	1.778e-11	enriched	42	44
GO:0055085	BP	transmembrane transport	1.093e-11	4.379e-10	enriched	31	31
GO:0015031	BP	protein transport	5.607e-11	1.992e-09	enriched	29	29
GO:0033617	BP	mitochondrial respiratory chain complex IV assembly	5.607e-11	1.992e-09	enriched	29	29
GO:0007275	BP	multicellular organism development	9.995e-11	3.396e-09	enriched	38	41
GO:0006886	BP	intracellular protein transport	7.534e-09	2.222e-07	enriched	23	23
GO:0008283	BP	cell population proliferation	7.534e-09	2.222e-07	enriched	23	23
GO:0015986	BP	proton motive force-driven ATP synthesis	1.704e-08	4.671e-07	enriched	22	22
GO:0016192	BP	vesicle-mediated transport	1.704e-08	4.671e-07	enriched	22	22
GO:0007608	BP	sensory perception of smell	1.704e-08	4.671e-07	enriched	22	22
GO:0006888	BP	endoplasmic reticulum to Golgi vesicle-mediated transport	2.201e-08	5.832e-07	enriched	25	26
GO:0008285	BP	negative regulation of cell population proliferation	8.704e-08	1.972e-06	enriched	20	20
GO:0015979	BP	photosynthesis	8.704e-08	1.972e-06	enriched	20	20
GO:0007186	BP	G protein-coupled receptor signaling pathway	1.192e-07	2.660e-06	enriched	28	31
GO:0007304	BP	chorion-containing eggshell formation	1.003e-06	1.867e-05	enriched	17	17
GO:0043086	BP	negative regulation of catalytic activity	2.265e-06	3.891e-05	enriched	16	16
GO:0009755	BP	hormone-mediated signaling pathway	2.265e-06	3.891e-05	enriched	16	16
GO:0006122	BP	mitochondrial electron transport, ubiquinol to cytochrome c	2.265e-06	3.891e-05	enriched	16	16
GO:0007168	BP	receptor guanylyl cyclase signaling pathway	5.114e-06	7.760e-05	enriched	15	15
GO:1902600	BP	proton transmembrane transport	5.114e-06	7.760e-05	enriched	15	15
GO:0001709	BP	cell fate determination	5.114e-06	7.760e-05	enriched	15	15
GO:0030968	BP	endoplasmic reticulum unfolded protein response	5.114e-06	7.760e-05	enriched	15	15
GO:0006182	BP	cGMP biosynthetic process	5.114e-06	7.760e-05	enriched	15	15
GO:0006816	BP	calcium ion transport	5.114e-06	7.760e-05	enriched	15	15
GO:0043953	BP	protein transport by the Tat complex	1.154e-05	1.582e-04	enriched	14	14
GO:0002181	BP	cytoplasmic translation	1.154e-05	1.582e-04	enriched	14	14
GO:0030199	BP	collagen fibril organization	1.154e-05	1.582e-04	enriched	14	14
GO:0001836	BP	release of cytochrome c from mitochondria	1.154e-05	1.582e-04	enriched	14	14
GO:0006357	BP	regulation of transcription by RNA polymerase II	2.604e-05	3.336e-04	enriched	13	13
GO:0032469	BP	endoplasmic reticulum calcium ion homeostasis	2.604e-05	3.336e-04	enriched	13	13
GO:0006605	BP	protein targeting	2.604e-05	3.336e-04	enriched	13	13
GO:0032543	BP	mitochondrial translation	2.604e-05	3.336e-04	enriched	13	13
GO:0000028	BP	ribosomal small subunit assembly	5.873e-05	7.116e-04	enriched	12	12
GO:0045944	BP	positive regulation of transcription by RNA polymerase II	1.325e-04	1.500e-03	enriched	11	11
GO:0007018	BP	microtubule-based movement	1.325e-04	1.500e-03	enriched	11	11
GO:0001935	BP	endothelial cell proliferation	2.986e-04	3.133e-03	enriched	10	10
GO:0097193	BP	intrinsic apoptotic signaling pathway	2.986e-04	3.133e-03	enriched	10	10
GO:0007267	BP	cell-cell signaling	2.986e-04	3.133e-03	enriched	10	10
GO:0007507	BP	heart development	2.986e-04	3.133e-03	enriched	10	10
GO:0009306	BP	protein secretion	6.731e-04	5.781e-03	enriched	9	9
GO:0007017	BP	microtubule-based process	6.731e-04	5.781e-03	enriched	9	9
GO:0060348	BP	bone development	6.731e-04	5.781e-03	enriched	9	9
GO:2000123	BP	positive regulation of stomatal complex development	6.731e-04	5.781e-03	enriched	9	9
GO:0030277	BP	maintenance of gastrointestinal epithelium	6.731e-04	5.781e-03	enriched	9	9
GO:0032571	BP	response to vitamin K	6.731e-04	5.781e-03	enriched	9	9
GO:0006606	BP	protein import into nucleus	6.731e-04	5.781e-03	enriched	9	9
GO:0030198	BP	extracellular matrix organization	6.731e-04	5.781e-03	enriched	9	9
GO:0090307	BP	mitotic spindle assembly	6.731e-04	5.781e-03	enriched	9	9
GO:1900076	BP	regulation of cellular response to insulin stimulus	6.731e-04	5.781e-03	enriched	9	9
GO:0032438	BP	melanosome organization	6.731e-04	5.781e-03	enriched	9	9
GO:0033566	BP	gamma-tubulin complex localization	6.731e-04	5.781e-03	enriched	9	9
GO:0051415	BP	microtubule nucleation by interphase microtubule organizing center	6.731e-04	5.781e-03	enriched	9	9
GO:0060183	BP	apelin receptor signaling pathway	6.731e-04	5.781e-03	enriched	9	9
GO:0001649	BP	osteoblast differentiation	6.731e-04	5.781e-03	enriched	9	9
GO:0018279	BP	protein N-linked glycosylation via asparagine	1.517e-03	1.168e-02	enriched	8	8
GO:0042773	BP	ATP synthesis coupled electron transport	1.517e-03	1.168e-02	enriched	8	8
GO:0043462	BP	regulation of ATP-dependent activity	1.517e-03	1.168e-02	enriched	8	8
GO:0031556	BP	transcriptional attenuation by ribosome	3.417e-03	2.244e-02	enriched	7	7
GO:0009636	BP	response to toxic substance	3.417e-03	2.244e-02	enriched	7	7
GO:0090090	BP	negative regulation of canonical Wnt signaling pathway	3.417e-03	2.244e-02	enriched	7	7
GO:0048364	BP	root development	3.417e-03	2.244e-02	enriched	7	7
GO:0007623	BP	circadian rhythm	3.417e-03	2.244e-02	enriched	7	7
GO:0031554	BP	regulation of termination of DNA-templated transcription	3.417e-03	2.244e-02	enriched	7	7
GO:0042776	BP	proton motive force-driven mitochondrial ATP synthesis	3.417e-03	2.244e-02	enriched	7	7
GO:0042127	BP	regulation of cell population proliferation	3.417e-03	2.244e-02	enriched	7	7
GO:0042254	BP	ribosome biogenesis	3.417e-03	2.244e-02	enriched	7	7
GO:0008380	BP	RNA splicing	3.417e-03	2.244e-02	enriched	7	7
GO:0032511	BP	late endosome to vacuole transport via multivesicular body sorting pathway	3.417e-03	2.244e-02	enriched	7	7
