DATABASE|CAMPSQ8738_P61458||Pterin_4_alpha_carbinolamine_dehydratase_superfamily
DATABASE|Training_Seq616||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|NP_000272.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|NP_001007602.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|NP_001276726.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|NP_079549.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|NP_990236.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|XP_001640626.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|XP_006256476.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|XP_007899501.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|XP_008104852.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|XP_011430778.2||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|XP_030103282.2||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|XP_046775862.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|XP_046782700.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|XP_046782701.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|XP_063135155.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
PRED|XP_799142.1||Pterin_4_alpha_carbinolamine_dehydratase|Pterin_4_alpha_carbinolamine_dehydratase_superfamily
